element_in,element_in_cost,element_out,element_out_cost,entry,event,time
534,51,369,55,317429,25,2023-02-24T16:57:10.556881Z
297,87,427,117,317429,25,2023-02-24T16:57:10.556403Z
283,127,301,123,317429,25,2023-02-24T16:57:10.552280Z
484,44,358,45,317429,24,2023-02-18T08:02:08.969954Z
308,51,332,51,317429,23,2023-02-11T05:32:45.719850Z
427,117,210,70,317429,22,2023-01-27T05:01:43.793910Z
358,45,306,72,317429,21,2023-01-21T00:00:48.892433Z
210,72,297,89,317429,20,2023-01-13T05:47:32.913575Z
327,49,254,40,317429,19,2022-12-31T20:14:35.672688Z
332,49,284,68,317429,19,2022-12-31T16:35:48.013587Z
237,42,345,67,317429,17,2022-12-24T17:42:51.933063Z
284,68,295,40,317429,17,2022-12-24T17:42:51.925612Z
295,40,377,44,317429,17,2022-12-24T17:35:53.683970Z
345,67,210,68,317429,17,2022-12-24T17:35:53.683398Z
335,67,346,45,317429,17,2022-12-24T17:35:53.676742Z
13,80,283,128,317429,17,2022-12-24T17:18:10.732190Z
306,74,526,46,317429,17,2022-12-24T17:18:10.727067Z
526,46,306,72,317429,17,2022-12-23T03:51:49.990389Z
283,128,13,80,317429,17,2022-12-23T03:51:49.989949Z
377,44,258,47,317429,17,2022-12-23T03:51:49.989469Z
548,39,376,53,317429,17,2022-12-23T03:51:49.982584Z
13,80,335,67,317429,17,2022-12-22T16:39:53.227093Z
258,47,284,68,317429,17,2022-12-22T16:39:53.226623Z
376,53,81,46,317429,17,2022-12-22T16:39:53.220838Z
558,39,342,48,317429,17,2022-12-21T16:23:37.478083Z
335,67,13,80,317429,17,2022-12-21T16:23:37.477557Z
284,68,377,44,317429,17,2022-12-21T16:23:37.477028Z
81,46,152,45,317429,17,2022-12-21T16:23:37.470352Z
342,48,558,39,317429,17,2022-12-21T16:16:20.169150Z
13,80,335,67,317429,17,2022-12-21T16:14:22.688288Z
335,67,283,128,317429,17,2022-12-21T00:50:04.840725Z
297,90,237,42,317429,17,2022-12-21T00:50:04.836459Z
210,68,80,74,317429,17,2022-12-20T18:04:58.532003Z
237,42,210,68,317429,17,2022-12-17T21:05:01.333696Z
80,74,297,90,317429,17,2022-12-17T21:05:01.333194Z
301,126,335,67,317429,17,2022-12-17T21:05:01.328820Z
335,67,314,83,317429,17,2022-12-17T19:27:38.693436Z
210,68,66,58,317429,17,2022-12-17T19:26:18.485043Z
297,90,356,74,317429,17,2022-12-17T19:26:18.484494Z
377,44,167,44,317429,17,2022-12-17T19:26:18.480380Z
66,58,210,68,317429,16,2022-11-12T04:17:43.661424Z
369,56,13,79,317429,15,2022-11-04T01:10:11.891857Z
356,75,80,74,317429,15,2022-11-04T01:10:11.886451Z
80,74,529,68,317429,13,2022-10-21T22:34:37.243379Z
167,44,366,48,317429,13,2022-10-21T20:45:36.260914Z
558,39,342,45,317429,13,2022-10-21T20:45:36.260675Z
283,128,160,74,317429,13,2022-10-21T20:45:36.260449Z
13,79,111,69,317429,13,2022-10-21T20:45:36.260214Z
529,68,427,114,317429,13,2022-10-21T20:45:36.259982Z
210,68,28,80,317429,13,2022-10-21T20:45:36.259729Z
10,45,39,43,317429,13,2022-10-21T20:45:36.259493Z
152,45,15,49,317429,13,2022-10-21T20:45:36.259189Z
314,83,104,57,317429,13,2022-10-20T23:21:31.912015Z
111,69,311,69,317429,12,2022-10-18T14:29:58.121340Z
160,74,225,63,317429,11,2022-10-14T07:10:48.864192Z
39,43,448,55,317429,10,2022-10-08T05:03:47.763968Z
366,48,285,73,317429,10,2022-10-08T05:03:47.756209Z
427,114,54,43,317429,8,2022-09-16T14:55:48.775463Z
311,70,283,129,317429,8,2022-09-16T14:55:48.771916Z
342,44,312,60,317429,6,2022-09-02T00:59:07.358860Z
225,64,486,53,317429,5,2022-08-27T14:36:31.386534Z
357,51,146,61,317429,5,2022-08-27T14:36:31.355880Z
104,56,45,49,317429,3,2022-08-19T14:57:48.437120Z
146,61,284,70,317429,3,2022-08-19T14:57:48.433458Z
